2019-10-22 15:35:32 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 15:37:01 ERROR    Could not connect to ('127.0.0.1', 1235): [WinError 10054] An existing connection was forcibly closed by the remote host
2019-10-22 15:37:01 ERROR    Could not connect to ('127.0.0.1', 1235): [WinError 10054] An existing connection was forcibly closed by the remote host
2019-10-22 15:43:13 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 15:46:38 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 15:53:40 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 16:53:45 ERROR    Could not connect to ('127.0.0.1', 1235): [WinError 10061] No connection could be made because the target machine actively refused it
2019-10-22 17:11:32 ERROR    Could not connect to ('127.0.0.1', 1235): [WinError 10061] No connection could be made because the target machine actively refused it
2019-10-22 17:13:04 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:19:10 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:22:40 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:22:51 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:23:33 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:23:42 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:24:03 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:26:59 ERROR    Could not connect to ('127.0.0.1', 1235): [Errno 61] Connection refused
2019-10-22 22:27:10 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:27:58 ERROR    Could not connect to ('127.0.0.1', 1235): [Errno 61] Connection refused
2019-10-22 22:28:07 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:28:56 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:29:10 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:31:16 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:31:18 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:32:31 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:32:46 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:35:52 INFO     Connected to ('127.0.0.1', 1235)
2019-10-22 22:35:57 INFO     Connected to ('127.0.0.1', 1235)
