2019-11-18 12:09:06,284 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:09:06 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:09:08,644 INFO     Connection established with ('127.0.0.1', 54398)
2019-11-18 12:09:08 INFO     Connection established with ('127.0.0.1', 54398)
2019-11-18 12:09:13,119 INFO     Connection established with ('127.0.0.1', 54408)
2019-11-18 12:09:13 INFO     Connection established with ('127.0.0.1', 54408)
2019-11-18 12:09:16,677 WARNING  Client disconnected: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:09:16 WARNING  Client disconnected: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:09:34,550 WARNING  Client disconnected: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:09:34 WARNING  Client disconnected: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:12:48,576 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:12:48 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:12:58,202 INFO     Connection established with ('127.0.0.1', 54740)
2019-11-18 12:12:58 INFO     Connection established with ('127.0.0.1', 54740)
2019-11-18 12:13:18,558 INFO     Connection established with ('127.0.0.1', 54753)
2019-11-18 12:13:18 INFO     Connection established with ('127.0.0.1', 54753)
2019-11-18 12:13:37,755 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:13:37 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:13:39,429 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:13:39 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:20:47,875 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:20:47 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:20:51,046 INFO     Connection established with ('127.0.0.1', 55330)
2019-11-18 12:20:51 INFO     Connection established with ('127.0.0.1', 55330)
2019-11-18 12:20:55,182 INFO     Connection established with ('127.0.0.1', 55338)
2019-11-18 12:20:55 INFO     Connection established with ('127.0.0.1', 55338)
2019-11-18 12:20:59,388 WARNING  Client disconnected: <socket.socket fd=1484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55338)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:20:59 WARNING  Client disconnected: <socket.socket fd=1484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55338)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:21:00,869 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55330)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:21:00 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55330)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:22:46,142 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:22:46 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:22:49,046 INFO     Connection established with ('127.0.0.1', 55560)
2019-11-18 12:22:49 INFO     Connection established with ('127.0.0.1', 55560)
2019-11-18 12:22:52,200 INFO     Connection established with ('127.0.0.1', 55563)
2019-11-18 12:22:52 INFO     Connection established with ('127.0.0.1', 55563)
2019-11-18 12:23:06,508 WARNING  Client disconnected: <socket.socket fd=1392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55563)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:23:06 WARNING  Client disconnected: <socket.socket fd=1392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55563)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:23:08,516 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:23:08 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:25:26,435 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:25:26 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:25:28,601 INFO     Connection established with ('127.0.0.1', 55809)
2019-11-18 12:25:28 INFO     Connection established with ('127.0.0.1', 55809)
2019-11-18 12:25:32,018 INFO     Connection established with ('127.0.0.1', 55815)
2019-11-18 12:25:32 INFO     Connection established with ('127.0.0.1', 55815)
2019-11-18 12:25:35,884 WARNING  Client disconnected: <socket.socket fd=1500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55815)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:25:35 WARNING  Client disconnected: <socket.socket fd=1500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55815)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:25:37,765 WARNING  Client disconnected: <socket.socket fd=1520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55809)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:25:37 WARNING  Client disconnected: <socket.socket fd=1520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55809)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:27:01,487 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:27:01 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:27:05,108 INFO     Connection established with ('127.0.0.1', 55987)
2019-11-18 12:27:05 INFO     Connection established with ('127.0.0.1', 55987)
2019-11-18 12:27:11,380 INFO     Connection established with ('127.0.0.1', 56009)
2019-11-18 12:27:11 INFO     Connection established with ('127.0.0.1', 56009)
2019-11-18 12:27:41,788 WARNING  Client disconnected: <socket.socket fd=1560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56009)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:27:41 WARNING  Client disconnected: <socket.socket fd=1560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56009)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:27:42,828 WARNING  Client disconnected: <socket.socket fd=1540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55987)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:27:42 WARNING  Client disconnected: <socket.socket fd=1540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 55987)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:28:54,518 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:28:54 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:28:57,915 INFO     Connection established with ('127.0.0.1', 56247)
2019-11-18 12:28:57 INFO     Connection established with ('127.0.0.1', 56247)
2019-11-18 12:29:01,838 INFO     Connection established with ('127.0.0.1', 56251)
2019-11-18 12:29:01 INFO     Connection established with ('127.0.0.1', 56251)
2019-11-18 12:29:33,204 WARNING  Client disconnected: <socket.socket fd=1536, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56247)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:29:33 WARNING  Client disconnected: <socket.socket fd=1536, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56247)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
